Name,Midterm (Punkte),Midterm (Prozentsatz),Midterm (Note),Final (Punkte),Final (Prozentsatz),Final (Note),Assignment_1_points,Assignment 1 (Prozentsatz),Aufgabe: Assignment 1 (Note),Assignment_2,Assignment 2 (Prozentsatz),Aufgabe: Assignment 2 (Note),Assignment_3,Assignment 3 (Prozentsatz),Aufgabe: Assignment 3 (Note),Assignment_4,Assignment 4 (Prozentsatz),Aufgabe: Assignment 4 (Note),Feedback 1 (Punkte),Feedback 1 (Prozentsatz),Feedback 1 (Note),Feedback 2 (Punkte),Feedback 2 (Prozentsatz),Feedback 2 (Note),Forum: Feedback Mar 1 - Apr 30 (public) (Punkte),Forum: Feedback Mar 1 - Apr 30 (public) (Prozentsatz),Forum: Feedback Mar 1 - Apr 30 (public) (Note),Forum: Feedback May 1 - Jun 30 (public) (Punkte),Forum: Feedback May 1 - Jun 30 (public) (Prozentsatz),Forum: Feedback May 1 - Jun 30 (public) (Note),Summe für den Kurs (Punkte),Summe für den Kurs (Prozentsatz),Summe für den Kurs (Note),Zuletzt aus diesem Kurs geladen
Student2018S1,100,100.00 %,1,98,98.00 %,1,24,96.00 %,1,15,100.00 %,1,95,95.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,98.51,98.51 %,1,1547568526
Student2018S2,79,79.00 %,2,70,70.00 %,3,22,88.00 %,1,14,93.33 %,1,10,10.00 %,5,7,46.67 %,5,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,65.08,65.08 %,3,1547568526
Student2018S3,0,0.00 %,5,0,0.00 %,5,10,40.00 %,5,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,2.4,2.40 %,5,1547568526
Student2018S4,0,0.00 %,5,0,0.00 %,5,11,44.00 %,5,5,33.33 %,5,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,7.64,7.64 %,5,1547568526
Student2018S5,0,0.00 %,5,0,0.00 %,5,15,60.00 %,4,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,3.6,3.60 %,5,1547568526
Student2018S6,0,0.00 %,5,0,0.00 %,5,19,76.00 %,2,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,4.56,4.56 %,5,1547568526
Student2018S7,0,0.00 %,5,-,-,-,0,0.00 %,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.00 %,5,1547568526
Student2018S8,41,41.00 %,5,8,8.00 %,5,12,48.00 %,5,7,46.67 %,5,-,-,-,0,0.00 %,5,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,24.08,24.08 %,5,1547568526
Student2018S9,57,57.00 %,4,40,40.00 %,5,25,100.00 %,1,10,66.67 %,3,90,90.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,69.9,69.90 %,3,1547568526
Student2018S10,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,0,0.00 %,5,1547568526
Student2018S11,22,22.00 %,5,0,0.00 %,5,16,64.00 %,3,7,46.67 %,5,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,15.24,15.24 %,5,1547568526
Student2018S12,0,0.00 %,5,0,0.00 %,5,17,68.00 %,3,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,4.08,4.08 %,5,1547568526
Student2018S13,72,72.00 %,3,70,70.00 %,3,17,68.00 %,3,14,93.33 %,1,90,90.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,82.48,82.48 %,2,1547568526
Student2018S14,77,77.00 %,2,64,64.00 %,3,20,80.00 %,2,12,80.00 %,2,70,70.00 %,3,11,73.33 %,3,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,73.7,73.70 %,3,1547568526
Student2018S15,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,0,0.00 %,5,1547568526
Student2018S16,44,44.00 %,5,44,44.00 %,5,21,84.00 %,2,12,80.00 %,2,0,0.00 %,5,11,73.33 %,3,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,51.84,51.84 %,4,1547568526
Student2018S17,68,68.00 %,3,0,0.00 %,5,9,36.00 %,5,10,66.67 %,3,-,-,-,0,0.00 %,5,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,29.76,29.76 %,5,1547568526
Student2018S18,71,71.00 %,3,37,37.00 %,5,21,84.00 %,2,15,100.00 %,1,90,90.00 %,1,7,46.67 %,5,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,67.99,67.99 %,3,1547568526
Student2018S19,84,84.00 %,2,48,48.00 %,5,21,84.00 %,2,14,93.33 %,1,70,70.00 %,3,13,86.67 %,2,0,0.00 %,5,2,100.00 %,1,-,-,-,-,-,-,73.34,73.34 %,3,1547568526
Student2018S20,42,42.00 %,5,33,33.00 %,5,18,72.00 %,3,12,80.00 %,2,80,80.00 %,2,13,86.67 %,2,0,0.00 %,5,2,100.00 %,1,-,-,-,-,-,-,59.97,59.97 %,4,1547568526
Student2018S21,67,67.00 %,3,38,38.00 %,5,16,64.00 %,3,13,86.67 %,2,85,85.00 %,2,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,71.49,71.49 %,3,1547568526
Student2018S22,71,71.00 %,3,35,35.00 %,5,25,100.00 %,1,14,93.33 %,1,55,55.00 %,4,13,86.67 %,2,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,68.2,68.20 %,3,1547568526
Student2018S23,54,54.00 %,4,33,33.00 %,5,18,72.00 %,3,14,93.33 %,1,95,95.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,70.62,70.62 %,3,1547568526
Student2018S24,58,58.00 %,4,42,42.00 %,5,20,80.00 %,2,14,93.33 %,1,30,30.00 %,5,9,60.00 %,4,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,58.4,58.40 %,4,1547568526
Student2018S25,80,80.00 %,2,71,71.00 %,3,23,92.00 %,1,14,93.33 %,1,95,95.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,86.52,86.52 %,2,1547568526
Student2018S26,11,11.00 %,5,0,0.00 %,5,14,56.00 %,4,3,20.00 %,5,-,-,-,0,0.00 %,5,2,100.00 %,1,0,0.00 %,5,-,-,-,-,-,-,10.56,10.56 %,5,1547568526
Student2018S27,100,100.00 %,1,83,83.00 %,2,24,96.00 %,1,14,93.33 %,1,95,95.00 %,1,15,100.00 %,1,0,0.00 %,5,2,100.00 %,1,-,-,-,-,-,-,91.76,91.76 %,1,1547568526
Student2018S28,87,87.00 %,2,98,98.00 %,1,23,92.00 %,1,15,100.00 %,1,95,95.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,95.67,95.67 %,1,1547568526
Student2018S29,53,53.00 %,4,27,27.00 %,5,16,64.00 %,3,5,33.33 %,5,95,95.00 %,1,15,100.00 %,1,0,0.00 %,5,2,100.00 %,1,-,-,-,-,-,-,57.44,57.44 %,4,1547568526
Student2018S30,43,43.00 %,5,62,62.00 %,4,20,80.00 %,2,15,100.00 %,1,80,80.00 %,2,13,86.67 %,2,2,100.00 %,1,0,0.00 %,5,-,-,-,-,-,-,70.9,70.90 %,3,1547568526
Student2018S31,11,11.00 %,5,0,0.00 %,5,8,32.00 %,5,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,2,100.00 %,1,0,0.00 %,5,-,-,-,-,-,-,6.12,6.12 %,5,1547568526
Student2018S32,78,78.00 %,2,85,85.00 %,2,22,88.00 %,1,14,93.33 %,1,95,95.00 %,1,15,100.00 %,1,2,100.00 %,1,2,100.00 %,1,-,-,-,-,-,-,89.38,89.38 %,1,1547568526
Student2018S33,73,73.00 %,3,46,46.00 %,5,20,80.00 %,2,13,86.67 %,2,90,90.00 %,1,15,100.00 %,1,2,100.00 %,1,0,0.00 %,5,-,-,-,-,-,-,74.4,74.40 %,3,1547568526
Student2018S34,46,46.00 %,5,0,0.00 %,5,23,92.00 %,1,15,100.00 %,1,-,-,-,0,0.00 %,5,0,0.00 %,5,0,0.00 %,5,-,-,-,-,-,-,29.72,29.72 %,5,1547568526
Student2018S35,4,4.00 %,5,0,0.00 %,5,6,24.00 %,5,0,0.00 %,5,-,-,-,0,0.00 %,5,2,100.00 %,1,0,0.00 %,5,0,0.00 %,5,-,-,-,4.24,4.24 %,5,1547568526
